DatGeracaoConjuntoDados;SigTipoGeracao;QtdUsinasPeriodo;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2024-09-01;UTN;2;1990000,00;9 ;2016
2024-09-01;EOL;501;12283243,00;12;2017
2024-09-01;CGH;658;593780,70;12;2017
2024-09-01;UFV;81;935325,00;12;2017
2024-09-01;PCH;432;5019574,77;12;2017
2024-09-01;UHE;221;94661994,66;12;2017
2024-09-01;UTE;3012;41628208,00;12;2017
2024-09-01;UTN;2;1990000,00;12;2017
2024-09-01;CGU;1;50,00;12;2017
2024-09-01;UTN;2;1990000,00;3 ;2017
2024-09-01;UTE;2952;41119491,61;3 ;2017
2024-09-01;UHE;219;92605229,33;3 ;2017
2024-09-01;UFV;44;23760,67;3 ;2017
2024-09-01;PCH;436;4952202,57;3 ;2017
2024-09-01;EOL;423;10364042,38;3 ;2017
2024-09-01;CGH;603;520999,99;3 ;2017
2024-09-01;CGH;613;546490,84;6 ;2017
2024-09-01;EOL;439;10701742,70;6 ;2017
2024-09-01;PCH;434;4976229,57;6 ;2017
2024-09-01;UFV;50;144213,75;6 ;2017
2024-09-01;UHE;219;93216340,44;6 ;2017
2024-09-01;UTE;2926;41021055,39;6 ;2017
2024-09-01;UTN;2;1990000,00;6 ;2017
2024-09-01;CGH;617;561000,04;9 ;2017
2024-09-01;EOL;466;11386242,70;9 ;2017
2024-09-01;PCH;431;4955174,57;9 ;2017
2024-09-01;UFV;59;298183,72;9 ;2017
2024-09-01;UHE;219;93858333,55;9 ;2017
2024-09-01;UTE;2930;41085156,74;9 ;2017
2024-09-01;UTN;2;1990000,00;9 ;2017
2024-09-01;EOL;585;14390292,86;12;2018
2024-09-01;CGH;696;695138,45;12;2018
2024-09-01;UFV;2273;1797580,26;12;2018
2024-09-01;CGU;1;50,00;12;2018
2024-09-01;PCH;427;5157379,57;12;2018
2024-09-01;UHE;217;98286811,21;12;2018
2024-09-01;UTE;3001;40263320,84;12;2018
2024-09-01;UTN;2;1990000,00;12;2018
2024-09-01;EOL;511;12537942,86;3 ;2018
2024-09-01;CGH;670;627354,54;3 ;2018
2024-09-01;UFV;81;935325,00;3 ;2018
2024-09-01;CGU;1;50,00;3 ;2018
2024-09-01;PCH;429;5042722,57;3 ;2018
2024-09-01;UHE;220;95619467,77;3 ;2018
2024-09-01;UTE;3002;41539113,04;3 ;2018
2024-09-01;UTN;2;1990000,00;3 ;2018
2024-09-01;UHE;220;96405578,88;6 ;2018
2024-09-01;PCH;427;5077852,57;6 ;2018
2024-09-01;CGH;685;672819,05;6 ;2018
2024-09-01;CGU;1;50,00;6 ;2018
2024-09-01;UTE;3002;41539113,04;6 ;2018
